Device_Fail,Gear_Type,Velocity,Torque(Nm),Wear_Measure,Sensor_1,Sensor_2
N,Z,1513,33.6,172,298.5,323
N,Z,1480,43.5,21,301,328.9259259
N,Y,1359,47.1,115,301.5,331.5185185
N,X,1460,47.2,22,301.4,328.5555556
Y,Y,1355,45.1,6,302.1,328.9259259
N,X,1429,37.6,118,297.4,324.1111111
Y,Z,1336,52.6,172,303.1,333.7407407
N,Y,1478,46.2,95,297.4,323
Y,X,1380,47.6,246,300.6,326.7037037
N,Z,1379,54.8,99,301.9,332.2592593
N,Z,1483,32.8,142,298.7,328.5555556
N,Z,1473,42.6,164,298.9,329.2962963
N,Z,1506,37.2,95,302.6,332.6296296
N,X,1679,27.5,59,300.5,334.1111111
N,Z,1298,52.7,132,297.9,320.037037
N,Z,1809,27.1,175,302,330.7777778
N,Y,1627,32.5,7,303.6,336.7037037
N,X,1415,54,6,298.9,323.3703704
N,Y,1695,30.2,188,300.9,331.8888889
N,X,1553,41,52,298.3,321.5185185
N,Y,1668,32.3,6,298.6,328.5555556
N,X,1568,36.9,28,302.7,330.7777778
N,Y,1437,49.9,55,302.9,332.6296296
N,Z,1850,24.5,19,300.7,327.0740741
N,Y,1517,41.2,105,299.8,333.7407407
N,Y,1435,42.3,83,302.4,332.2592593
N,Y,1526,39.1,39,297.6,318.1851852
N,Y,2012,20.7,178,301.6,331.5185185
N,Z,1902,23.4,188,302,331.8888889
N,Y,1427,43.6,101,298,319.6666667
N,Y,1750,29.9,50,298.9,324.8518519
N,Y,1567,35,168,303.9,341.1481481
Y,Z,2691,12.1,31,301.9,332.6296296
N,Y,2049,19.5,111,299,328.9259259
N,Y,2022,20,23,298.9,322.2592593
N,Z,1521,34.5,84,296.9,321.5185185
N,Y,1525,39.3,86,298.4,325.5925926
N,Z,1781,28.5,196,302.6,336.3333333
N,Z,1556,34.9,76,300.6,335.2222222
N,Z,1345,54.1,126,303.6,338.1851852
N,Y,1573,39.7,162,300,327.4444444
N,Z,1809,25.7,192,301,332.2592593
N,Z,1557,38.2,157,301.4,331.1481481
Y,Z,1287,61.9,216,298.9,328.1851852
N,Z,1429,42.6,127,299.8,327.8148148
N,Z,1540,46.7,206,300.5,331.1481481
N,Z,1614,31.6,84,301,330.4074074
N,Z,1578,31.4,219,300.8,335.2222222
N,X,1471,37.7,197,297.5,324.8518519
N,Y,1544,40.3,150,296.9,320.7777778
N,Z,1376,44.9,186,301.9,332.6296296
N,Y,1635,34.5,168,299,330.037037
N,Z,1321,53.4,166,299.7,327.4444444
N,Z,1585,38.1,7,298.9,331.1481481
N,Y,1815,25.3,66,297.6,325.2222222
N,Z,1550,33.7,174,299.4,324.8518519
N,Z,1427,47.7,92,301.9,331.8888889
N,Z,1699,30.3,178,300.3,325.5925926
N,Y,1507,42.3,207,298.8,323.7407407
N,X,1506,37,54,297.3,322.6296296
N,Z,1681,29.1,197,299.9,329.2962963
N,Z,1554,41,192,299.7,333
N,Y,1526,37.3,176,303,333
N,Z,1444,39.8,197,301,334.4814815
N,Z,1553,41.3,44,300.2,335.2222222
N,Y,1504,37.3,107,302.3,335.2222222
N,X,1451,39.4,70,301.8,333.3703704
N,X,1606,39.9,53,298.2,324.4814815
N,Z,1419,51.1,7,295.6,314.1111111
N,Y,1680,33.7,185,298.1,322.6296296
N,Z,1541,39.1,17,300.9,330.4074074
N,Y,1539,39.1,216,300.5,326.3333333
N,Y,1539,35.1,24,302.2,334.1111111
N,Z,1332,54.6,111,300.4,334.8518519
N,Y,1347,54.3,136,300.5,327.8148148
N,Z,1694,27.3,40,303.5,338.9259259
N,Z,1663,28.4,67,298.3,322.2592593
N,Z,1889,21.5,92,301.9,330.4074074
N,Z,1461,52.5,146,300.5,328.1851852
N,Z,1400,44.3,47,301.3,330.037037
N,Z,1620,30.3,112,302.3,332.2592593
N,Z,1339,58.8,35,298.3,325.2222222
N,Y,1462,38.8,124,298.2,321.1481481
N,Z,1409,51.8,16,303.3,333.7407407
N,X,1336,57.5,187,302.8,337.4444444
N,X,1373,44.8,221,299.3,328.9259259
N,Z,1334,54.7,88,302.9,336.7037037
N,Z,2424,14.5,12,300.4,330.7777778
N,Y,1418,46.3,84,300.7,331.1481481
N,X,1433,49.6,129,299.7,327.4444444
N,Z,1601,33.2,77,301,330.7777778
N,Y,1368,53.6,165,302.3,335.2222222
N,Z,1761,28.2,76,298.1,320.7777778
N,Z,1448,40,192,297.8,323.3703704
N,X,1653,33.3,207,297.2,323.3703704
N,Y,1661,38.2,82,298.1,325.2222222
N,Y,1649,31.6,41,299.1,329.2962963
N,Z,1402,49.7,41,297.4,322.2592593
N,Z,1361,48.8,120,303,338.9259259
N,Z,1401,54.7,65,298,321.5185185
N,Z,1803,25.4,209,298.8,331.1481481
N,Z,1456,36.1,89,302.8,333
N,Z,1492,37.2,178,298.2,320.037037
N,Y,1344,53,114,298.5,323.7407407
N,Y,1743,24.1,18,300.2,328.1851852
N,Z,1794,24.4,211,300.6,330.037037
N,Z,1730,30.2,41,298.6,327.0740741
N,Z,1546,37.7,159,298.9,330.4074074
N,Z,1382,47.5,37,296.7,320.7777778
N,Z,1462,49.9,69,298.2,321.8888889
N,Y,1540,38.1,182,299,330.037037
N,Z,1477,41.5,100,300.9,332.2592593
N,Y,1363,45.7,91,302.6,336.3333333
N,Z,1744,26.8,94,300.5,334.8518519
N,Z,1568,38.2,172,301,332.2592593
N,Y,1500,43.3,10,299.4,325.5925926
N,Z,1468,45.6,2,299.2,325.5925926
N,Z,1492,45,162,302.1,333.3703704
N,Z,1577,37.1,44,299.1,331.1481481
N,X,1408,44.4,82,299.3,324.1111111
N,Z,1501,36.1,156,301.1,327.4444444
N,Z,1502,43.9,84,296.7,320.4074074
N,Z,1543,36.2,30,300.5,331.1481481
N,Y,2243,15.7,36,297.8,326.3333333
N,Y,1566,32.6,9,303.7,339.6666667
N,Z,1639,33.8,39,297.4,322.2592593
N,Z,1565,40.1,89,296.8,320.4074074
N,Z,1457,47.7,120,300.6,330.4074074
N,Z,1318,48.2,128,300.7,332.6296296
N,Y,1504,42.6,109,301.5,332.6296296
N,Y,1332,51.7,71,299.1,323
N,Z,1663,33.7,71,303.2,337.8148148
N,X,1354,55.6,46,297.6,325.2222222
N,Z,1366,49.3,59,300.2,326.3333333
N,Z,1546,37.2,4,299.7,326.3333333
N,Z,1785,25.5,120,301.5,331.8888889
N,Z,2051,19.2,90,298.2,322.6296296
N,Z,1397,42.3,48,301.4,333.7407407
N,Z,1534,39.7,115,303.6,340.037037
N,Z,1772,27.3,69,300.7,331.8888889
N,X,1674,29.6,85,300.1,334.8518519
N,Z,1815,27,190,300.7,328.5555556
N,Z,1566,35.1,206,296.5,319.6666667
N,Y,1453,42.1,105,302.4,335.5925926
Y,Z,1450,52.1,213,302.7,337.0740741
Y,Z,1442,59.8,169,302.6,334.4814815
N,Z,1601,35.7,176,298.7,327.8148148
N,Y,1540,38.7,45,296.7,319.2962963
N,Z,1349,47,71,301,333.7407407
N,X,1419,46.4,200,300.8,330.4074074
N,Z,1636,28.7,106,301.5,330.7777778
N,Z,1711,29.9,42,296.2,318.9259259
N,Y,1779,27.7,46,300.5,336.3333333
N,Z,1665,29.6,0,303.9,340.4074074
N,X,1669,32.1,155,297.6,327.4444444
Y,Z,1366,50.9,200,303.4,335.5925926
N,Y,1402,40,94,301.5,333
N,Y,1353,49.8,182,299.9,325.962963
N,Z,1380,48.4,131,301.4,330.7777778
N,Y,1575,35.3,47,299,325.2222222
N,Z,1474,50.7,10,301.3,333.7407407
N,X,1701,30.4,171,304,340.037037
N,Z,1676,30.5,22,298.1,323.3703704
N,Z,1388,45.3,188,301.4,330.4074074
Y,Z,1336,71.6,31,297.9,328.1851852
N,X,1365,54,174,297.1,321.1481481
N,Y,1641,33,145,301.3,332.6296296
N,Z,1498,45.8,47,300.8,327.4444444
N,Y,1383,45.7,44,301.8,331.5185185
N,Y,1414,44.3,68,298.2,324.8518519
N,Y,1577,35.8,136,302.4,329.2962963
N,Z,1643,34.1,91,298.2,325.2222222
N,X,1683,27.8,26,298,319.6666667
N,Z,1462,51.2,102,297.2,323
N,Z,1505,39.6,107,300.3,333.7407407
N,Y,1463,46.5,182,298,319.2962963
N,Z,1596,31.8,40,299.4,326.3333333
N,Y,1347,48.5,33,298.5,324.1111111
N,Z,1547,36.9,103,302.5,329.6666667
N,Y,1538,38,98,299.2,323
N,Y,1509,37.6,45,302.5,330.4074074
N,Y,1466,44.7,88,297.8,323.3703704
N,Y,1425,45.8,109,297.2,323.3703704
N,Z,1342,50.9,60,301,333.7407407
N,Z,1419,47.7,179,300.7,335.962963
N,Y,2141,17.2,196,300.5,335.2222222
N,Z,1483,45.6,187,300,334.1111111
N,Z,1706,27.9,170,301.4,331.5185185
N,Z,1430,39.1,117,299.2,324.8518519
N,Z,1531,38.5,0,300.6,333.7407407
N,Z,1339,52.1,36,297.3,323
N,Z,1527,35.1,165,297.3,321.5185185
N,Z,1528,37.3,160,298.3,323
N,Z,1499,42.3,38,303.8,340.037037
N,Z,1632,30.6,121,304,340.7777778
N,Z,1598,33.4,20,299.1,329.6666667
N,Z,1553,40.1,187,302.5,335.962963
N,Y,1524,51.4,66,299.1,330.4074074
N,Y,1404,43.7,160,297.2,323.7407407
N,Y,1776,28,43,297.2,322.6296296
N,Z,1324,59.1,118,297.4,323.7407407
N,Y,1593,36.8,50,301.5,330.4074074
N,Z,1629,37.6,162,300.6,328.1851852
N,Y,1691,30.1,40,301.6,331.1481481
N,Y,1323,57.3,163,297.4,324.8518519
N,Z,1845,27.3,45,302,333.3703704
N,Z,1622,33.3,121,298,320.7777778
N,Y,1909,22.7,38,301.1,333.7407407
N,Y,1352,61.8,10,300,334.1111111
N,Z,1471,41.4,39,300.6,335.5925926
N,Z,1738,28,58,301.8,329.2962963
N,Z,1405,48.8,78,301.9,331.5185185
N,Y,1585,32.1,202,304.3,342.2592593
N,Z,1881,24.3,40,296.2,318.9259259
N,Z,1509,41.7,16,301.3,332.2592593
N,X,1454,44.1,217,301,329.2962963
N,X,1305,54.6,168,297,323
N,Y,1456,47.5,167,302.2,330.4074074
N,X,1688,29.4,166,297.3,323.7407407
N,Y,1374,53.6,136,303.8,338.9259259
N,Z,1496,38.8,27,300,327.4444444
N,X,1607,36.6,43,303.2,334.1111111
N,Z,1522,46.4,2,298.9,323.7407407
N,Z,1651,36.9,65,300.5,334.4814815
N,Y,1593,35.2,29,303.5,337.4444444
N,Z,1476,47.8,223,299.5,325.5925926
N,Z,1749,26.4,40,300.9,332.2592593
N,Z,1749,26.1,66,298.2,320.7777778
N,Z,1316,59.3,137,303.7,337.8148148
N,Z,1410,43.9,47,297.4,323.3703704
N,Y,1444,52.7,46,303.7,339.6666667
N,Z,1329,51.5,154,302.3,332.6296296
N,Z,1827,23,6,300.2,328.1851852
N,Z,1509,37.5,12,300.9,331.5185185
N,Y,1575,29.8,210,300.1,334.1111111
N,Y,1357,54.5,121,298.9,328.5555556
N,Z,1622,35.6,34,301.1,333.7407407
N,Z,1761,28.9,128,297.8,320.7777778
N,Z,1856,21.9,189,301.3,332.6296296
N,Y,1440,50,134,299.4,325.5925926
N,Z,1448,44.8,195,302.4,333
N,Y,1496,42.2,22,297.5,323.3703704
N,Y,1486,44.2,196,298.3,323
N,Z,1469,47,15,299.6,329.6666667
N,Y,1443,50.9,85,299.2,331.1481481
N,Z,1708,31,122,299.6,332.6296296
N,Y,1732,33.7,218,300.1,325.962963
N,X,1468,41.4,156,297.4,325.2222222
N,Z,1438,49,61,300.9,332.6296296
N,Z,1349,52.7,92,299.5,328.9259259
N,Y,1514,43.5,78,298.1,320.7777778
N,Z,1738,24,195,297.5,324.8518519
N,Z,1437,41.6,183,299.1,323.7407407
N,Z,1533,40.7,106,298.6,327.4444444
N,Y,1521,35,119,300.4,327.4444444
N,Z,1475,43,119,297.6,324.4814815
N,Y,1415,41.3,17,297.6,326.3333333
N,X,1445,52.4,105,300.4,334.1111111
N,X,1400,48.9,147,297.7,326.3333333
N,Y,1355,51.4,76,297,321.8888889
N,X,1657,29.3,37,302.6,336.3333333
N,Z,1633,39.5,0,301.4,330.7777778
N,X,1651,30.6,50,303.3,334.1111111
N,Z,1495,36.8,215,302.4,335.2222222
N,Y,1647,30.8,212,297.9,319.6666667
N,Z,1456,47.7,0,298.6,325.2222222
N,Z,1610,32.1,150,300,325.962963
N,Z,1567,36.1,124,302,330.7777778
N,Z,1743,28.1,170,302.2,330.4074074
N,Z,1458,44.8,217,298.5,325.2222222
N,Z,1400,41.6,136,302.3,335.2222222
N,Z,1538,38.5,123,297.9,320.7777778
N,Z,1578,44.4,86,300.8,332.6296296
N,X,1424,53.8,133,296.7,321.1481481
N,Z,1559,44.5,135,301.7,331.8888889
N,Y,1948,20,185,299.8,332.6296296
N,Z,2231,17.4,151,298.9,328.9259259
N,X,1573,33.3,168,299.8,329.6666667
N,Y,1495,41,193,300.1,333.7407407
N,X,1528,46.3,203,296.7,321.8888889
N,Z,1465,47.8,187,296.6,319.2962963
Y,Z,,68.2,172,298.6,322.2592593
N,Y,1614,38.1,62,297.9,325.5925926
N,Z,1547,40,201,300.1,333.7407407
N,Y,1343,46.2,28,300.1,334.4814815
Y,Y,1212,55.6,79,302,330.4074074
N,X,1871,26,132,301.9,332.6296296
N,X,1691,27.7,203,299.7,325.962963
N,Z,1335,52.7,135,302.5,335.5925926
N,Z,1441,38.1,34,300.7,335.5925926
N,Z,1493,41.4,28,300,333.7407407
N,Z,1446,49.9,133,295.6,314.8518519
N,Z,1774,23,30,297.2,323.7407407
N,Y,1437,48.3,110,303.9,340.4074074
N,Y,1620,35.4,199,299,324.1111111
N,X,1393,43.1,45,300,333.3703704
N,Z,1418,44.7,46,301.6,331.8888889
N,Z,1505,38.8,30,299.3,330.7777778
N,Y,1382,48.1,186,298.7,327.4444444
N,Y,1377,49.6,27,298.8,328.1851852
N,X,1631,32.6,43,300.7,331.1481481
N,Z,1430,56.7,44,300.1,328.1851852
N,Z,1739,27.4,72,299.1,330.7777778
N,Z,1769,24.9,91,302.2,331.5185185
Y,Z,1336,58.4,189,300.7,335.5925926
Y,Z,2617,12.1,102,298.5,327.8148148
N,Y,1488,44,43,298.6,322.2592593
N,Y,1823,25.1,87,302,330.7777778
N,Z,1435,39.9,143,298.3,321.1481481
N,Z,1409,54.8,140,298.9,329.6666667
N,Z,1925,21.9,9,300,327.0740741
N,Z,1500,41,118,301.5,331.8888889
N,Z,1453,44,208,301.5,331.1481481
N,Y,1628,40.2,111,299.4,331.8888889
N,Y,1693,33.3,170,298.8,327.4444444
N,Z,1445,41.1,201,300.7,330.7777778
Y,Z,1648,30.5,217,300.6,330.037037
N,Z,1466,48.1,189,301.5,330.7777778
N,Z,1366,48.4,116,299.4,326.3333333
N,Z,1398,44,65,301.9,330.037037
N,Y,1642,31.2,37,300.2,325.2222222
N,Y,1577,39.7,118,301.5,332.6296296
N,Z,1793,29.3,157,303,333.7407407
N,Z,1605,34.3,107,299.2,325.5925926
N,X,1771,26.8,216,298.9,329.6666667
N,Z,1552,36.4,113,300.6,326.7037037
N,Y,1424,43.7,151,304.2,342.2592593
N,Y,1551,44.8,18,299.2,330.037037
N,X,1707,27.6,56,298.8,329.6666667
N,Z,1390,57.4,164,301.3,331.8888889
N,Z,1583,36.7,104,297.9,325.2222222
N,Z,1428,48.8,109,300.6,328.5555556
N,Y,1546,38,123,297.5,324.1111111
N,Z,1571,37.7,162,297.4,322.6296296
N,Z,1752,29,52,300.4,325.962963
N,Y,1315,48.9,127,298.5,327.0740741
N,Z,1506,34,49,302.2,332.2592593
N,Y,1552,36.6,190,298,321.8888889
Y,Z,1577,37.9,227,300.8,331.1481481
N,Z,1554,32,117,300,327.8148148
N,Z,1642,30.4,58,298.1,328.5555556
N,Y,1389,49.6,75,298.3,329.2962963
N,Z,1474,42.3,64,297.1,324.1111111
N,X,1510,44.2,35,298.8,328.1851852
N,Z,1507,38.2,94,297.7,325.2222222
N,Z,1548,38.4,188,302.5,332.6296296
N,X,1438,46.7,41,300.4,335.962963
N,Z,1444,43.6,123,300,325.962963
N,X,1489,40.3,117,301,337.0740741
N,Z,1952,22.7,131,301.4,333
N,Z,1792,27.9,217,298,319.6666667
Y,Z,1359,57.2,67,302.6,330.4074074
N,X,1400,48.7,119,299.9,328.1851852
N,Y,1412,46.5,89,301.9,331.1481481
N,Y,1559,35.2,127,297.7,323.3703704
N,Z,1378,53.4,100,299.2,323.3703704
Y,Z,1410,65.7,191,298.9,325.2222222
N,Z,2268,15.8,20,303.4,335.5925926
N,Z,1356,48.3,201,296.8,321.8888889
N,Z,2297,15.8,191,301.5,330.7777778
N,Z,1533,38.5,117,300.6,331.8888889
N,Y,1437,47.2,102,304.2,341.8888889
N,X,1439,49.7,9,299.4,326.3333333
N,Z,1383,46.4,37,301.8,331.8888889
N,X,1593,37.2,197,295.5,313.7407407
N,Z,1437,47.8,99,299,330.037037
N,Z,1685,31.1,27,300.7,327.0740741
N,Z,1320,57.9,168,300.4,335.5925926
N,Y,1544,38.8,97,298.4,325.2222222
N,Y,1260,65.9,29,301.9,331.1481481
N,Y,1566,35,201,296.6,319.6666667
N,Y,1508,41.8,89,298,320.037037
N,Z,1944,23.4,192,298.9,329.2962963
N,Z,1459,44.7,92,301.3,330.4074074
N,Y,1622,35.1,107,303.4,339.2962963
N,Z,1586,37.8,103,300,327.8148148
N,Y,1372,52.8,33,297.7,318.5555556
Y,Z,1361,45.4,174,302,329.2962963
N,Y,1388,45.6,190,297.7,324.4814815
N,Z,1736,26.5,56,301.8,331.8888889
N,Z,1540,36.6,28,301.1,329.2962963
Y,Z,1301,66.3,42,298.5,322.2592593
N,Z,1403,47.7,43,298,328.5555556
N,Y,1713,23.5,50,304.2,341.5185185
N,Y,1366,55.1,36,300.7,335.962963
N,Z,1369,53,138,298.8,323
N,Z,1455,48.2,145,297.6,324.1111111
N,Z,1437,52.4,37,297.2,323.7407407
N,Z,1751,29.3,133,301.8,331.5185185
N,Y,1457,39.2,192,301.7,328.5555556
N,Y,1535,47.5,163,299,323
N,Z,1333,55.2,11,297.3,322.6296296
N,Y,1451,43.2,189,302.5,336.3333333
N,Z,1800,26,135,301.4,333
N,Z,1454,49,166,298.3,324.4814815
N,Z,1404,48.1,32,298.5,321.5185185
N,Y,1323,52.9,106,298.9,328.9259259
N,X,1509,46.8,175,302.9,337.4444444
N,Y,1587,34.2,141,299,331.1481481
N,X,1358,60.4,102,300.5,328.9259259
N,Z,1668,35.2,77,298.7,323.3703704
N,Z,1344,54.8,186,301.3,328.9259259
N,Y,1438,42.8,106,303.5,339.6666667
N,Z,1531,41.6,9,301.3,329.2962963
N,Y,1664,32.8,142,296.8,320.7777778
N,X,1369,45.4,156,301.6,330.4074074
N,X,1425,44.5,49,298.1,325.5925926
N,Y,1449,44.4,34,297.3,323
N,X,1414,46.7,102,298.5,326.7037037
N,Y,1499,40.3,154,298.8,327.8148148
N,Z,1705,29.4,190,300.3,326.7037037
N,Z,1418,41.9,208,301.3,332.6296296
N,Z,1596,36.9,174,300.7,332.6296296
N,Z,1508,35.5,217,303.3,335.2222222
N,Z,1493,48.3,167,300.2,335.2222222
N,Z,1693,28,188,297.2,322.6296296
N,Z,1412,44.5,85,297.9,321.1481481
N,Y,1321,51.9,114,299.5,324.1111111
N,Z,1427,43,0,303.8,340.037037
N,Z,2381,14.2,164,298.4,321.1481481
N,Z,1558,36.3,184,301.3,329.2962963
N,X,1744,31.5,0,299,329.6666667
N,Z,1514,42.7,75,302.6,330.4074074
N,X,1553,34.1,89,302.2,333
N,Y,2028,18.9,45,304.1,340.7777778
N,X,1459,49.7,201,297.5,326.3333333
N,Z,1674,32.2,70,302.6,336.3333333
N,Z,1441,49.3,58,301.8,331.5185185
N,Z,1389,46.9,106,302.2,333.7407407
N,X,1891,24.7,158,298.4,321.8888889
N,Z,1513,32.9,117,300.4,328.1851852
N,Z,1509,39.3,66,297.2,324.1111111
N,X,1442,40.9,23,304.2,340.037037
N,X,1461,41.5,108,297.3,322.6296296
N,Z,1354,52.2,165,302.3,336.3333333
N,Z,1389,42.7,48,296.6,319.2962963
N,Z,1453,47.3,62,302.7,337.8148148
N,Y,1632,33.7,172,299.8,328.9259259
N,Z,1369,48.8,36,300.3,329.6666667
N,Y,1631,31,100,302.6,329.6666667
N,X,1366,47.3,162,302.4,335.962963
N,Z,1616,29.6,47,300.7,331.1481481
N,Z,1562,34.4,25,298.6,323
N,Y,1377,56,61,304,340.037037
N,Y,1731,30.4,92,300.1,325.5925926
N,Y,1557,31.5,49,302.4,335.5925926
N,Z,1981,23.2,16,298.4,321.1481481
N,Z,1356,48,99,295.8,315.5925926
N,Z,1525,39,90,299.4,324.1111111
N,Y,1339,51.4,68,298,324.8518519
N,X,1564,40.2,150,303.7,338.9259259
N,Z,1563,34.8,150,302.5,329.6666667
N,Y,1427,43.2,13,301.4,332.6296296
N,Z,1446,53.5,7,297.3,322.2592593
N,X,1468,38.7,39,300.8,335.2222222
N,Z,1254,61.3,124,299.9,327.4444444
Y,Z,1400,57.1,202,296.9,320.7777778
N,Z,1861,26.9,130,298.5,327.4444444
N,Z,1766,25.8,7,297.2,323.3703704
N,Z,1577,29.4,130,297,322.2592593
N,Z,2465,13.7,149,301.7,330.7777778
N,Z,1493,39,137,302.5,333
N,X,1530,40.2,65,298.1,327.0740741
N,Y,1460,37.1,169,299.8,328.9259259
N,X,1561,35.3,208,298.5,327.8148148
N,Y,1473,38.5,189,295.3,313
N,Y,1969,21.7,32,298.2,321.5185185
N,Y,1469,41.6,124,302.4,332.2592593
N,X,1388,53.2,91,304,340.4074074
N,Y,2056,18.7,144,298.2,326.3333333
N,Z,1665,34.3,139,302.3,334.8518519
N,Z,1626,32.3,21,303.1,333.3703704
N,Z,1847,23.6,69,298.2,321.1481481
N,Z,1436,51.6,158,299.8,326.7037037
N,Y,1734,27,50,296.6,319.6666667
N,Z,1729,28.1,189,297.5,324.8518519
N,Z,1607,38.4,92,303.5,339.2962963
N,X,1413,40.2,51,297.6,325.2222222
N,Y,1463,47.3,206,298.1,321.1481481
N,Y,1400,43.2,23,303.6,339.2962963
N,Z,1718,26.5,130,303.7,337.8148148
N,Z,1222,70,62,301.6,331.1481481
N,Z,1544,43.2,128,302.3,335.2222222
N,Z,1512,34.2,44,302.6,337.4444444
N,Z,1881,21.7,29,298.7,327.8148148
N,Y,2174,18.5,95,300.6,337.0740741
N,Z,1711,30.3,148,298.3,327.0740741
Y,Z,1323,44.4,207,297.1,323.3703704
N,Y,1455,41.2,56,301.3,331.8888889
N,Z,1466,41.3,8,299.2,322.2592593
N,Z,1354,50,169,301.7,330.7777778
N,Y,1520,37,147,297.4,325.2222222
N,Y,1414,46.4,128,298.4,325.962963
N,Z,1758,24.4,200,302.1,333.7407407
N,Z,1508,47.9,25,298.4,321.5185185
N,Y,1384,54.4,44,298.5,323.7407407
N,Z,1736,26.9,74,299.1,330.7777778
N,Z,1622,37.9,79,297.6,324.1111111
N,X,1422,46.2,134,300.1,334.4814815
N,Y,1483,49.3,124,300.5,328.5555556
N,Y,1532,41.3,32,303.7,339.6666667
N,Z,1476,42.3,180,303.4,335.2222222
N,Z,1516,37.4,146,296.7,320.037037
N,Y,1389,48.1,88,300.6,331.8888889
N,Z,1458,44.1,91,299.2,330.7777778
Y,Z,1338,67.6,194,302.4,332.6296296
N,Y,1597,29.8,177,301.8,333
N,Z,1348,58.1,83,302,331.5185185
N,Z,1445,41.7,180,300.9,330.4074074
Y,Z,1385,46.3,203,298.5,327.0740741
N,Z,1493,38,151,299.3,325.5925926
N,X,1621,32.7,75,298.9,324.4814815
N,Y,1347,47.9,29,301.5,331.5185185
N,Z,1461,39.4,141,298.8,328.1851852
N,Y,1476,36.5,25,301.4,333.3703704
N,Z,2098,19.6,148,298.8,328.9259259
N,Y,1338,56.4,29,299,328.9259259
N,Z,1484,39.2,,298.8,
N,Z,1728,31.7,133,300.4,334.1111111
N,Y,1393,55.9,79,298,325.2222222
N,Z,1572,33.4,20,299.6,325.962963
N,Y,1486,41.2,127,300.6,328.9259259
N,Z,1321,48.8,150,300.9,330.037037
N,Z,1408,46.3,3,298.2,324.121
N,Z,1777,24.3,200,298,321.8888889
N,Z,1561,38.3,9,296.8,321.5185185
N,Y,1486,39.6,147,302.3,335.2222222
N,Y,1828,26.3,82,302,330.4074074
Y,Y,1235,76.2,89,295.8,315.2222222
N,Z,1490,41,16,297.3,322.2592593
N,X,1688,30.4,115,302.3,329.2962963
N,Z,1373,47.2,3,300.4,335.2222222
N,Z,1444,47.7,161,299,329.2962963
N,Z,1593,37.4,47,298.6,328.5555556
N,Z,2168,17.7,219,303.6,337.4444444
N,X,1555,40.4,139,301.6,331.1481481
N,Z,1374,58.6,123,298.8,327.8148148
N,Z,1394,50,62,297.6,325.5925926
N,Z,1867,25.9,121,302.4,335.962963
N,Y,1410,50.3,33,302.6,337.8148148
N,Z,1578,36.3,141,302.9,337.4444444
N,Z,1896,24.4,47,297.3,322.2592593
N,Y,1944,21.4,71,302.7,336.3333333
N,Z,1510,41.4,94,302.9,337.0740741
N,Z,1641,30.4,41,300.1,327.8148148
N,Y,1377,48.5,181,298,324.1111111
N,Z,1399,54.9,139,298.2,321.1481481
N,Y,1528,40.9,76,300.3,334.4814815
N,Z,1468,44.4,197,297.1,323
N,Z,1523,39.1,53,298.9,329.2962963
N,Z,1802,24.4,151,299.9,333.7407407
N,Z,1639,32.7,63,304.2,341.5185185
Y,Z,1238,54.6,226,303.2,334.1111111
N,X,1823,25.9,181,298.3,325.2222222
N,Y,1495,36.5,132,297.8,326.7037037
N,Z,1582,31.7,181,299.4,330.4074074
N,Z,1390,41.8,184,296.9,323
N,Z,1595,34.3,41,297.6,322.6296296
N,Z,1403,54.1,179,297.1,322.6296296
N,Z,1701,27.2,4,302,328.1851852
N,Y,1350,47.2,2,303.9,340.7777778
N,Y,1366,47.3,49,303.7,339.2962963
N,Y,1554,32.7,59,301,332.2592593
N,Z,1492,36.7,199,301,332.2592593
N,Z,1413,46,182,300.3,335.5925926
N,Z,1503,43.3,90,297.3,323.3703704
N,Y,1750,26.6,67,298,321.1481481
N,Z,1508,45.7,108,302.4,335.5925926
N,Z,2009,18.9,59,302.4,329.2962963
N,Z,1498,38.1,188,297.8,318.5555556
N,Y,1659,31.5,44,299.5,329.2962963
N,Z,1555,40.6,205,302.4,332.6296296
N,Z,1419,45.1,170,299.7,327.4444444
N,Y,1444,47.5,178,298.3,323
N,X,1678,34.6,81,298.2,323
N,Y,1428,39.9,88,304.1,341.8888889
N,Y,1496,45,79,302.6,336.3333333
N,Z,1427,43.3,180,300.8,335.5925926
N,Y,1622,34.6,8,298.7,327.8148148
N,Z,2113,18.5,95,300.7,331.8888889
N,Z,1481,42.6,213,304,340.7777778
N,Z,1547,33.1,68,298.5,327.0740741
N,Y,1664,28.9,174,297.3,323.3703704
N,Z,1408,48.7,85,299.3,324.1111111
N,Z,1453,40.8,11,298.9,324.8518519
N,Z,1419,43.7,39,302.5,334.8518519
N,Z,1838,27.8,181,303.8,338.9259259
N,Z,1419,48.3,91,299,326.7037037
N,Z,1517,44.3,4,300.9,331.8888889
N,Z,1492,48.1,137,297,322.6296296
N,Y,1404,38.7,44,300.8,327.4444444
N,Y,1566,38.2,187,300.6,331.5185185
N,Z,1459,44.5,89,298.2,320.4074074
N,Z,1480,47.9,18,297.7,327.4444444
N,Y,1551,36.4,84,300.3,335.2222222
N,Y,1623,34.3,9,302,331.1481481
N,Z,1354,50.2,103,297.7,324.4814815
N,Y,1448,49.8,80,299.7,332.6296296
N,Y,1505,44,187,301.7,332.6296296
N,Z,2643,12.7,21,304.3,341.8888889
